"x","y"
-111.6932649,39.96891852
-111.5439866,40.04151099
-111.4400389,40.06704355
-111.4782337,40.04240473
-111.4979936,40.16561605
-111.4955981,40.16551546
-111.1561987,39.93076154
-111.1562363,39.93133438
-111.20029,39.932357
-111.1996901,39.93561132
-111.7271984,39.7215878
-111.729743,39.71742827
-111.202084,39.9314229
-111.8083172,39.71315257
-111.215908,39.95147982
-111.3082375,39.96348906
-111.86583,39.71609
-111.3105284,39.9614841
-111.3381003,39.97246307
-111.7749115,39.94448043
-111.433775,39.99546425
-111.5378889,39.94953774
-111.538931,39.949913
-111.6921061,39.96639853
-111.6928095,39.96651441
-111.5594652,39.92467189
-111.5466047,39.92377301
-111.5673629,39.87458944
-111.596571,40.08447867
-111.537243,40.130716
-111.5407501,40.15400463
-111.3916811,40.19559985
-111.3918014,40.1952498
-111.4573799,39.81149756
-111.490715,40.20057133
-111.490735,40.20334035
-111.4499033,39.81496489
-111.415828,39.80656339
-111.4162236,39.8062688
-111.4396847,40.06718988
-111.4303898,40.07356978
-111.3922008,40.07501125
-111.3547799,40.08411412
-111.3551473,40.0837091
-111.35435,40.08499
-111.3389102,40.11431423
-111.5364484,39.94886146
-111.4941454,39.99362217
-111.20081,39.94292
-111.752765,40.432284
-111.757633,40.476444
-111.643798,40.324872
